EXCH,Scrip,Call/Put,Exp Date,STK,BF Qty,Buy Qty,Buy Avg,Sale Qty,Sale Avg,Net Qty,MTM,Avg Rate,LTP,Today Net,Today Avg
FO,IDEA,PE,27-02-2025,12.0,1320000,0,0.0,0,0.0,1320000,462000.0,3.75,4.1,0,0.0
FO,IDEA,CE,27-02-2025,7.0,-280000,0,0.0,0,0.0,-280000,70000.0,1.4,1.15,0,0.0
FO,IDEA,PE,27-02-2025,7.0,280000,0,0.0,0,0.0,280000,0.0,0.1,0.1,0,0.0
FO,IDEA,CE,27-02-2025,9.0,-2840000,0,0.0,-40000,0.1,-2880000,284000.0,0.2,0.1,-40000,0.1
FO,IDEA,PE,27-02-2025,9.0,2840000,40000,1.1,0,0.0,2880000,566000.0,0.85,1.05,40000,1.1
FO,IDEA,CE,27-02-2025,11.0,-2480000,0,0.0,0,0.0,-2480000,0.0,0.05,0.05,0,0.0
FO,IDEA,PE,27-02-2025,11.0,2480000,0,0.0,0,0.0,2480000,620000.0,2.7,2.95,0,0.0
FO,IDEA,CE,27-03-2025,8.0,-1040000,0,0.0,-80000,0.78,-1120000,150000.0,0.98,0.85,-80000,0.78
FO,IDEA,PE,27-03-2025,8.0,1040000,80000,0.72,0,0.0,1120000,46000.0,0.61,0.65,80000,0.72
FO,IDEA,CE,27-03-2025,10.0,-320000,0,0.0,0,0.0,-320000,0.0,0.3,0.3,0,0.0
FO,IDEA,PE,27-03-2025,10.0,320000,0,0.0,0,0.0,320000,64000.0,1.9,2.1,0,0.0
FO,IDEA,CE,27-03-2025,9.0,-640000,0,0.0,0,0.0,-640000,32000.0,0.55,0.5,0,0.0
FO,IDEA,PE,27-03-2025,9.0,640000,0,0.0,0,0.0,640000,96000.0,1.15,1.3,0,0.0
FO,IDEA,FF,27-03-2025,0.0,2000000,80000,8.04,0,0.0,2080000,-412000.0,8.34,8.14,80000,8.04
FO,IDFCFIRSTB,FF,27-02-2025,0.0,105000,0,0.0,0,0.0,105000,-226800.0,61.73,59.57,0,0.0
FO,IDFCFIRSTB,CE,27-02-2025,60.0,-97500,0,0.0,0,0.0,-97500,126750.0,2.4,1.1,0,0.0
FO,IDFCFIRSTB,PE,27-02-2025,60.0,97500,0,0.0,0,0.0,97500,82875.0,0.65,1.5,0,0.0
FO,IDFCFIRSTB,CE,27-02-2025,62.0,-7500,0,0.0,0,0.0,-7500,5250.0,1.15,0.45,0,0.0
FO,IDFCFIRSTB,PE,27-02-2025,62.0,7500,0,0.0,0,0.0,7500,9375.0,1.4,2.65,0,0.0
